"";"userID";"artistID";"weight";"TF"
"1";1273;3186;111;TRUE
"2";843;10565;44;TRUE
"3";1825;89;64;TRUE
"4";1276;13621;101;TRUE
"5";480;6784;163;FALSE
"6";1961;301;3107;TRUE
"7";703;349;6;TRUE
"8";710;3744;136;TRUE
"9";962;227;257;TRUE
"10";1477;7312;12;TRUE
"11";2042;176;238;TRUE
"12";1978;843;49;TRUE
"13";1684;646;5;TRUE
"14";946;492;176;TRUE
"15";1489;909;425;FALSE
"16";926;11111;171;TRUE
"17";1425;1960;564;TRUE
"18";555;332;174;TRUE
"19";85;854;201;TRUE
"20";1472;4155;147;FALSE
"21";1184;980;100;TRUE
"22";1221;13260;19;TRUE
"23";1915;17582;25;TRUE
"24";2075;159;185;TRUE
"25";265;1195;885;TRUE
"26";812;10305;393;TRUE
"27";814;182;836;TRUE
"28";1630;15719;189;FALSE
"29";1861;1202;183;TRUE
"30";1163;4130;12;TRUE
"31";1032;11884;32;TRUE
"32";968;1504;636;TRUE
"33";1968;1372;567;FALSE
"34";994;1104;445;TRUE
"35";100;203;344;TRUE
"36";1709;4790;145;TRUE
"37";25;325;244;TRUE
"38";1919;443;66;TRUE
"39";1078;2784;69;TRUE
"40";1765;757;231;TRUE
"41";444;744;124;TRUE
"42";437;350;232;TRUE
"43";1068;383;324;TRUE
"44";1638;1717;58;TRUE
"45";791;65;19;TRUE
"46";333;265;121;TRUE
"47";1672;212;157;TRUE
"48";858;1409;194;TRUE
"49";721;630;428;TRUE
"50";443;6945;2445;TRUE
"51";651;8892;192;TRUE
"52";1859;2633;1;TRUE
"53";1492;89;363;TRUE
"54";1659;701;232;FALSE
"55";503;691;448;TRUE
"56";1728;418;77;TRUE
"57";1726;349;224;TRUE
"58";1977;1766;245;TRUE
"59";2022;2940;223;TRUE
"60";1044;1878;1076;TRUE
"61";478;706;154;TRUE
"62";439;2907;1493;TRUE
"63";304;3183;22;TRUE
"64";131;418;74;TRUE
"65";1302;1048;172;TRUE
"66";1293;371;125;FALSE
"67";578;726;119;TRUE
"68";1277;342;2125;TRUE
"69";884;1246;306;TRUE
"70";1853;407;233;TRUE
"71";1719;16234;205;TRUE
"72";1182;1716;581;TRUE
"73";360;6116;12;FALSE
"74";386;6365;184;TRUE
"75";179;486;58;FALSE
"76";62;1798;71;TRUE
"77";1926;17641;624;TRUE
"78";2040;2977;182;TRUE
"79";1453;679;765;TRUE
"80";2043;2643;1335;FALSE
"81";581;8291;676;TRUE
"82";1380;228;107;FALSE
"83";1678;7834;72;TRUE
"84";1388;289;59;TRUE
"85";1496;1116;166;TRUE
"86";79;468;21;TRUE
"87";994;70;868;TRUE
"88";1329;229;1001;TRUE
"89";686;1014;841;TRUE
"90";432;6792;579;TRUE
"91";1818;16863;2;TRUE
"92";575;288;932;TRUE
"93";2003;8291;206;TRUE
"94";1220;5150;802;TRUE
"95";1615;316;46;TRUE
"96";664;3693;504;TRUE
"97";1407;1390;159;TRUE
"98";1451;966;116;TRUE
"99";1353;1905;1117;TRUE
"100";1906;6453;72;TRUE
"101";801;67;11;TRUE
"102";914;11;762;TRUE
"103";451;679;455;TRUE
"104";631;229;475;TRUE
"105";1891;5052;65;TRUE
"106";1002;800;77;TRUE
"107";1618;15595;267;TRUE
"108";1058;366;89;TRUE
"109";1779;16636;140;TRUE
"110";754;6728;277;TRUE
"111";1143;3576;150;TRUE
"112";1586;732;97;TRUE
"113";1605;1410;108;TRUE
"114";1635;1377;108;TRUE
"115";32;441;1180;TRUE
"116";89;289;421;TRUE
"117";1601;450;142;TRUE
"118";1882;17337;429;TRUE
"119";13;548;2;FALSE
"120";1873;198;117;FALSE
"121";297;3902;1167;TRUE
"122";1248;903;203;TRUE
"123";1697;3147;240;TRUE
"124";1164;12822;500;TRUE
"125";1667;4297;14;TRUE
"126";1533;1936;5801;TRUE
"127";1929;2044;2344;TRUE
"128";1440;14579;125;TRUE
"129";851;295;2239;TRUE
"130";1513;5922;2090;TRUE
"131";1422;498;109;TRUE
"132";581;265;21338;TRUE
"133";235;1368;200;TRUE
"134";23;871;154;TRUE
"135";1256;1249;74;TRUE
"136";1074;159;533;TRUE
"137";2099;18715;139;TRUE
"138";254;4831;943;TRUE
"139";932;478;231;TRUE
"140";394;6472;105;TRUE
"141";346;511;713;FALSE
"142";162;325;180;TRUE
"143";582;1549;1028;TRUE
"144";2013;1109;384;TRUE
"145";655;295;4;TRUE
"146";627;1342;604;FALSE
"147";27;970;103;FALSE
"148";264;100;211;TRUE
"149";2033;1632;1093;TRUE
"150";1530;14657;251;TRUE
"151";1087;7663;159;TRUE
"152";640;2047;570;TRUE
"153";1432;57;1;TRUE
"154";1695;6726;74;TRUE
"155";2072;18561;2336;TRUE
"156";1797;2607;276;TRUE
"157";1455;296;1561;TRUE
"158";463;7158;43;TRUE
"159";1984;188;707;TRUE
"160";930;300;2524;FALSE
"161";1299;523;637;TRUE
"162";976;166;80;TRUE
"163";886;10826;42;TRUE
"164";532;1670;127;TRUE
"165";74;1114;177;TRUE
"166";2005;18178;341;TRUE
"167";1076;12134;138;FALSE
"168";132;1009;99;TRUE
"169";514;318;215;TRUE
"170";256;67;6368;TRUE
"171";1176;2379;965;TRUE
"172";1573;202;185;TRUE
"173";1416;1116;362;TRUE
"174";1643;3217;363;TRUE
"175";1215;97;251;TRUE
"176";1451;2801;211;FALSE
"177";1026;298;437;TRUE
"178";2023;2020;1707;TRUE
"179";1378;206;266;TRUE
"180";149;3370;313;TRUE
"181";744;1347;115;TRUE
"182";1229;534;270;TRUE
"183";1566;533;337;TRUE
"184";889;163;129;TRUE
"185";642;574;254;TRUE
"186";1199;2629;953;TRUE
"187";1064;96;12;TRUE
"188";1623;1113;1187;TRUE
"189";2048;18402;16;TRUE
"190";984;1449;3983;TRUE
"191";168;3697;287;TRUE
"192";157;3474;80;FALSE
"193";88;2401;42;TRUE
"194";1929;316;930;TRUE
"195";1171;12923;90;TRUE
"196";1926;2616;708;TRUE
"197";1527;15191;155;FALSE
"198";1625;15664;18;TRUE
"199";972;1148;331;TRUE
"200";1950;679;661;TRUE
"201";1165;65;199;TRUE
"202";475;533;129;TRUE
"203";2093;4541;111;TRUE
"204";1944;724;483;TRUE
"205";1514;4311;174;TRUE
"206";1060;1131;1250;TRUE
"207";1613;2843;3814;TRUE
"208";772;2838;15;TRUE
"209";1593;527;243;TRUE
"210";1872;10924;366;TRUE
"211";1308;966;839;TRUE
"212";44;227;1493;TRUE
"213";732;2067;455;TRUE
"214";427;6769;821;TRUE
"215";1574;15382;274;TRUE
"216";671;2986;77;TRUE
"217";491;841;2768;TRUE
"218";322;547;5475;TRUE
"219";939;1190;938;FALSE
"220";1793;56;396;TRUE
"221";580;8265;649;TRUE
"222";794;1516;23;TRUE
"223";46;458;1562;TRUE
"224";882;409;637;TRUE
"225";253;256;605;TRUE
"226";865;10688;90;TRUE
"227";158;3499;110;FALSE
"228";198;1853;1405;TRUE
"229";1420;12410;184;TRUE
"230";1628;333;641;TRUE
"231";1160;5313;265;TRUE
"232";705;9402;670;TRUE
"233";2057;18459;191;TRUE
"234";291;5280;28;TRUE
"235";1504;15078;3664;TRUE
"236";2023;1047;560;TRUE
"237";1121;12469;5;FALSE
"238";1007;3581;172;FALSE
"239";2047;1098;165;TRUE
"240";905;484;100;TRUE
"241";993;11605;187;FALSE
"242";594;488;12;TRUE
"243";771;9904;20;TRUE
"244";732;2044;1988;TRUE
"245";907;868;2388;TRUE
"246";1207;1868;38;TRUE
"247";1986;707;728;TRUE
"248";235;957;172;TRUE
"249";424;15;280;FALSE
"250";1638;763;42;TRUE
"251";2095;18683;58;TRUE
"252";42;472;164;TRUE
"253";1649;544;2104;TRUE
"254";1549;424;71;TRUE
"255";800;3376;265;TRUE
"256";960;11407;8;TRUE
"257";1991;3532;91;FALSE
"258";226;295;849;TRUE
"259";202;706;716;TRUE
"260";1271;227;4247;TRUE
"261";1556;8904;475;TRUE
"262";1995;486;475;FALSE
"263";450;4251;1001;TRUE
"264";1113;11063;105;TRUE
"265";1831;3200;252;TRUE
"266";584;5168;3320;FALSE
"267";1605;7782;139;TRUE
"268";906;298;444;TRUE
"269";802;3508;2;TRUE
"270";182;966;407;TRUE
"271";1733;4156;469;TRUE
"272";1622;554;111;TRUE
"273";841;521;40;TRUE
"274";1178;475;411;FALSE
"275";500;7492;11;TRUE
"276";1476;288;3972;TRUE
"277";1881;3763;265;TRUE
"278";778;67;2089;TRUE
"279";1894;311;109;TRUE
"280";1006;6137;324;TRUE
"281";416;3417;83;TRUE
"282";370;2600;847;TRUE
"283";1301;3206;265;TRUE
"284";1204;250;219;TRUE
"285";15;610;404;TRUE
"286";523;7741;2;TRUE
"287";905;300;598;FALSE
"288";282;2342;346;TRUE
"289";722;704;363;TRUE
"290";617;173;173;TRUE
"291";1293;493;84;TRUE
"292";247;4750;204;FALSE
"293";1192;860;1198;TRUE
"294";395;6491;113;TRUE
"295";1858;7;124;TRUE
"296";466;704;259;TRUE
"297";1315;13794;6;TRUE
"298";731;2366;79;TRUE
"299";769;2128;162;TRUE
"300";1665;317;1;TRUE
"301";2022;3859;4279;TRUE
"302";1584;15448;35;TRUE
"303";438;6879;5;TRUE
"304";2054;2802;147;FALSE
"305";1844;3200;146;TRUE
"306";825;1755;61;TRUE
"307";1447;306;36;TRUE
"308";620;300;974;FALSE
"309";567;5027;634;TRUE
"310";2027;461;295;TRUE
"311";358;56;245;TRUE
"312";959;1897;181;TRUE
"313";458;333;56;TRUE
"314";443;5844;2692;TRUE
"315";1467;3097;280;TRUE
"316";1161;10807;1016;TRUE
"317";674;972;77;TRUE
"318";994;454;226;TRUE
"319";1406;2580;967;TRUE
"320";8;257;479;TRUE
"321";263;91;446;FALSE
"322";1052;454;500;TRUE
"323";1485;4709;449;TRUE
"324";1163;12819;3;TRUE
"325";387;316;8954;TRUE
"326";1270;6769;63;TRUE
"327";1302;229;294;TRUE
"328";1353;982;400;TRUE
"329";1207;13138;50;TRUE
"330";1975;2671;362;TRUE
"331";1230;13333;6;TRUE
"332";1553;1300;487;TRUE
"333";561;279;3899;TRUE
"334";1891;4734;54;TRUE
"335";1337;903;346;TRUE
"336";366;1412;305;TRUE
"337";489;554;71;TRUE
"338";154;537;15;TRUE
"339";1623;6678;1223;FALSE
"340";2056;18454;10;TRUE
"341";1353;1195;546;TRUE
"342";1513;1380;161;TRUE
"343";776;538;79;TRUE
"344";594;830;47;TRUE
"345";1107;810;1373;TRUE
"346";1538;1151;16;TRUE
"347";1029;1073;896;TRUE
"348";706;155;25;TRUE
"349";417;3057;542;TRUE
"350";631;1515;805;TRUE
"351";661;8425;269;TRUE
"352";909;230;45;TRUE
"353";1220;70;831;TRUE
"354";623;152;4295;TRUE
"355";1585;1306;4038;TRUE
"356";86;500;614;TRUE
"357";2078;5446;1478;TRUE
"358";572;646;362;TRUE
"359";1318;298;729;TRUE
"360";135;2;1021;FALSE
"361";1037;8120;4;TRUE
"362";731;163;189;TRUE
"363";1461;14662;47;TRUE
"364";1889;2127;186;FALSE
"365";2027;18312;168;TRUE
"366";12;504;1646;TRUE
"367";934;614;159;FALSE
"368";43;331;133;TRUE
"369";1312;497;107;TRUE
"370";764;2834;2016;TRUE
"371";620;930;1404;FALSE
"372";242;4703;75;TRUE
"373";814;10318;138;TRUE
"374";995;1456;9;TRUE
"375";171;2608;159;FALSE
"376";1124;686;2789;TRUE
"377";967;3097;93;TRUE
"378";275;961;20;TRUE
"379";1504;15075;12520;TRUE
"380";1153;706;837;TRUE
"381";1762;67;3260;TRUE
"382";1238;228;211;FALSE
"383";886;542;30;FALSE
"384";1082;5605;1010;FALSE
"385";957;2236;3918;TRUE
"386";1657;3995;335;FALSE
"387";1235;1772;263;TRUE
"388";963;794;265;TRUE
"389";1685;217;136;TRUE
"390";2005;18184;282;TRUE
"391";1075;526;1223;TRUE
"392";1369;377;36;TRUE
"393";1330;206;632;TRUE
"394";423;6734;175;TRUE
"395";1912;17543;169;TRUE
"396";1616;289;876;TRUE
"397";1259;2524;405;FALSE
"398";1365;67;843;TRUE
"399";1866;614;212;FALSE
"400";1522;808;42;FALSE
"401";1121;12467;5;TRUE
"402";2059;704;521;TRUE
"403";83;2311;1054;FALSE
"404";821;599;112;TRUE
"405";1762;3712;117;TRUE
"406";191;1072;13;TRUE
"407";1438;204;959;TRUE
"408";1253;4474;403;TRUE
"409";750;1119;76;TRUE
"410";1171;792;60;TRUE
"411";1594;982;1565;TRUE
"412";638;285;191;TRUE
"413";1303;433;159;TRUE
"414";1549;15268;77;TRUE
"415";549;585;81;TRUE
"416";1851;466;54;FALSE
"417";1143;2809;77;FALSE
"418";149;1400;189;TRUE
"419";1684;289;413;TRUE
"420";1992;3622;586;TRUE
"421";2088;959;5;TRUE
"422";1641;1001;293;TRUE
"423";1253;329;769;FALSE
"424";1401;544;959;TRUE
"425";1347;14029;5;TRUE
"426";426;444;821;FALSE
"427";1687;333;175;TRUE
"428";1712;707;873;TRUE
"429";130;525;101;TRUE
"430";1057;189;109;TRUE
"431";1806;171;1185;TRUE
"432";97;2574;2156;TRUE
"433";868;7316;83;TRUE
"434";214;959;86;TRUE
"435";236;295;9726;TRUE
"436";2021;680;640;TRUE
"437";2083;18602;18;TRUE
"438";1992;3444;489;TRUE
"439";1534;486;506;FALSE
"440";943;1958;94;TRUE
"441";1032;8108;196;TRUE
"442";1052;12009;262;TRUE
"443";2099;18722;107;TRUE
"444";1056;1428;942;TRUE
"445";1393;4874;980;TRUE
"446";574;8193;201;TRUE
"447";1213;13192;41;TRUE
"448";27;689;80;FALSE
"449";177;250;569;TRUE
"450";182;1772;293;TRUE
"451";526;517;10;TRUE
"452";1007;718;47;FALSE
"453";1839;13074;152;FALSE
"454";1430;706;77;TRUE
"455";1017;1591;221;TRUE
"456";1820;302;378;TRUE
"457";2017;546;115;TRUE
"458";738;1353;803;TRUE
"459";1816;1553;412;TRUE
"460";55;1630;335;FALSE
"461";569;283;155;TRUE
"462";1604;1145;332;TRUE
"463";134;1860;25;TRUE
"464";614;1378;746;TRUE
"465";360;6078;127;TRUE
"466";313;2787;99;TRUE
"467";1582;6792;329;TRUE
"468";592;8014;908;TRUE
"469";1027;601;468;TRUE
"470";959;98;328;TRUE
"471";143;641;3681;FALSE
"472";319;5648;266;TRUE
"473";1821;360;106;FALSE
"474";1543;928;44;TRUE
"475";817;7183;441;TRUE
"476";655;226;3;TRUE
"477";1608;1400;218;TRUE
"478";1621;1383;151;TRUE
"479";2004;2206;89;TRUE
